symbol,name,sector,market_cap,shares,price,EPS,Sales,current_eps,EPS_CAGR,Sales_CAGR
RMPL,Rafhan Maize Products Company Limited,FOOD & PERSONAL CARE PRODUCTS,83869560010.0,9236400,080.33,"['748.43', '669.02', '677.46', '659.80']","['65466700', '58755773', '42609634', '35873330']",748.43,0.04290870403895375,0.22203295847498694
PGIC,Pakistan Guarantee Insurance Company Limited,INSURANCE,0.0,0,4.75,"['0.82', '1.67', '1.20', '0.73']",[],0.82,0.039513971378626556,0.0
BERG,Berger Paints Pakistan Limited,CHEMICAL,2409008090.0,24551652,98.12,"['10.71', '9.78', '8.22', '9.54']","['8543907', '7341165', '7105233', '5602160']",10.71,0.039314609252725896,0.15106628817129542
GWLC,Gharibwal Cement Limited,CEMENT,23235903380.0,400273960,58.05,"['4.35', '3.08', '3.38', '3.88']","['18165083', '18315894', '16193788', '12106985']",4.35,0.038849201865507776,0.1448110009461736
AKZO,Akzo Nobel Pakistan Limited,,12539677500.0,46443250,270.00,"['11.82', '8.34', '12.34', '10.57']","['5611541', '5812743', '5690577', '5136961']",11.82,0.03796050757248781,0.029892646521842536
HINOON,Highnoon Laboratories Limited,PHARMACEUTICALS,47333221640.0,52983368,893.36,"['45.35', '45.62', '43.17', '41.04']","['19424255', '15815937', '13000780', '10697634']",45.35,0.03384789167346636,0.2199785977776727
AGIC,Askari General Insurance Company Limited,INSURANCE,2160652030.0,71901898,30.05,"['6.02', '4.82', '5.10', '5.50']",[],6.02,0.030571039291764857,0.0
EMCO,Emco Industries Limited,CABLE & ELECTRICAL GOODS,1084989680.0,34999667,31.00,"['6.26', '8.37', '6.20', '5.77']","['4192405', '3545524', '2586227', '2077324']",6.26,0.02754182093239721,0.2637262223206043
SAPL,Sanofi-Aventis Pakistan Limited,PHARMACEUTICALS,8390976000.0,9644800,870.00,"['17.29', '93.93', '51.12', '16.05']","['18559884', '15880932', '14107802', '14500678']",17.29,0.025116724197865592,0.08574786219150576
NML,Nishat Mills Limited,TEXTILE COMPOSITE,35610032610.0,351599848,101.28,"['18.11', '34.60', '29.33', '16.84']","['160256555', '141756469', '115768065', '71431010']",18.11,0.024531827266685458,0.30911059345658165
LSEFSL,LSE Financial Services Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,624000840.0,35677578,17.49,"['1.72', '0.07', '1.05', '1.60']",[],1.72,0.024399807259133155,0.0
IML,Imperial  Limited,INV. BANKS / INV. COS. / SECURITIES COS.,1941782200.0,99020000,19.61,"['0.80', '1.15', '0.74', '0.75']","['', '', '', '']",0.8,0.02174590985807079,0.0
ATBA,Atlas Battery Limited,AUTOMOBILE PARTS & ACCESSORIES,13393665330.0,35017034,382.49,"['38.37', '62.86', '19.69', '36.78']",[],38.37,0.014207204884251201,0.0
OLPM,OLP Modaraba,MODARABAS,744289890.0,45383530,16.40,"['3.48', '2.84', '2.46', '3.36']",[],3.48,0.011765785274559626,0.0
SIBL,Security Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,651817490.0,59148593,11.02,"['1.55', '(0.64)', '0.49', '1.50']",[],1.55,0.01098989096313252,0.0
SEPL,Security Papers Limited,"PAPER, BOARD & PACKAGING",8884842390.0,59255985,149.94,"['25.12', '16.33', '16.02', '24.61']","['7311732', '5794593', '5147258', '5001692']",25.12,0.006860585798053709,0.13492659564779008
JSGCL,JS Global Capital Limited,INV. BANKS / INV. COS. / SECURITIES COS.,3462139420.0,27477297,126.00,"['6.82', '2.77', '14.27', '6.77']",[],6.82,0.002455805539589795,0.0
TOWL,Towellers Limited,TEXTILE COMPOSITE,2575500000.0,17000000,151.50,"['32.91', '140.49', '62.53', '32.73']","['12314921', '11086916', '10238086', '5220747']",32.91,0.0018298302472914418,0.33116838359975365
CPHL,Citi Pharma Ltd.,PHARMACEUTICALS,16179622180.0,228461200,70.82,"['3.65', '2.88', '2.88', '3.64']","['12409239', '12396983', '9779880', '5795404']",3.65,0.0009149135935859753,0.288903721447233
NATF,National Foods Limited,FOOD & PERSONAL CARE PRODUCTS,43825667000.0,233115250,188.00,"['5.44', '9.23', '8.43', '5.43']","['37377245', '29602876', '26843062', '23115798']",5.44,0.0006134970864062339,0.17372439777685567
MWMP,Mandviwala Mauser Plastic Industries,MISCELLANEOUS,639645960.0,28748133,22.25,"['3.76', '1.42', '0.41', '(0.23)']","['1108560', '619811', '458220', '123106']",3.76,0.0,1.0804629907336776
MUGHALR1,Mughal Iron (R),,0.0,0,28.27,[],[],0.0,0.0,0.0
